Company,Job_Titles,Location,Skills
Endorphins Entertainment Private Limited,Digital Marketing,Delhi,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Ayecify,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Decoimagination,Graphic Design,Kolkata,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Gratitude Farms,Business Development (Sales),Chennai,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Apsis Solutions,Embedded C Development (PIC18 And ARM Cortex M3),Bangalore,"['C', 'C++', 'Arduino', 'Raspberry Pi', 'Electronics', 'RTOS']"
Mitrah Technology,Marketing,Mira Bhayandar,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
f1Studioz,UI/UX Design,Bangalore,"['Figma', 'Adobe XD', 'Wireframing', 'Prototyping', 'User Research']"
FULL Creative Private Limited,iOS App Development,Chennai,"['Swift', 'Xcode', 'Objective-C', 'UIKit', 'Firebase']"
Homesifyi.com,Data Entry Operation,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Digi Elephant,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Eventilators,Human Resources (HR),Gurgaon,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Vision30 Class,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Vikalp India Private Limited,Academic Trainer,Delhi,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
M H Mortgage Services Private Limited,Marketing,Indore,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Gajanan Ashirwad Industries,Marketing,Aurangabad,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
JDMR Ischool,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
YantroMitra Learning Technologies,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Dobby Ads,Business Development (Sales),Bangalore,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
PlanyrTrip,Business Strategy,Delhi,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
UniAdmits,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
ESparkBiz Technologies Private Limited,Marketing,Ahmedabad,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Neha Agarwal,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
A Wizards Workshop,Business Development (Sales),Mumbai,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Oddy Labs,Digital Marketing,Hyderabad,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
QSSGlobal,Web Development,Delhi,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Red Dash Media,Content Writing,Delhi,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Tiyana Incorporation,Web Development,Mumbai,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
