job_id,job_title,company_name,location,skills_required,experience_raw,work_mode,company_rating,job_url
1,Data Scientist,Cisco,Bengaluru,"Computer science, Data analysis, data science, Supply chain operations, data visualization, Customer engagement, cisco, Analytics",7-10 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991
2,Data Scientist,Caterpillar Inc,Bengaluru,"Basic, Data management, Business analytics, Analytical, Machine learning, Programming, Data processing, data visualization",4-8 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-8-years-010526502121
3,Analytics Data Scientist,Foreign IT Consulting MNC,"Hyderabad, Chennai, Bengaluru",Not Available,4-9 Yrs,On-site,3.6,
4,Data Scientist,Fortune 500 IT Services Company,"Mumbai, Bengaluru",Not Available,10-14 Yrs,On-site,3.6,
5,Sr. Artificial Intelligence Engineer,Fortune 500 Product-based MNC,"Pune, Bengaluru",Not Available,5-10 Yrs,On-site,3.6,
6,Data Scientist,Top Rated IT Enterprise,"Chennai, Bengaluru",Not Available,3-8 Yrs,On-site,3.6,
7,Data Scientist,Leading IT Firm,"Chennai, Bengaluru",Not Available,5-10 Yrs,On-site,3.6,
8,Advanced Data Scientist,Exxon Mobil Corporation,Bengaluru,"Supply chain, data science, Aerospace, Machine learning, Agile, Monitoring, Analytics, Python",5-10 Yrs,On-site,3.7,https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372
9,"Data Scientist, Google Play, Product",Google,Bengaluru,"Product management, Prototype, data science, Coding, Machine learning, Mathematics, Statistics, Analytics",5-10 Yrs,On-site,4.4,https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329
10,Machine Learning Data Scientist,Hsbc,Bengaluru,"python, data analysis, data domain, vertex, data processing, google, anomaly detection, machine learning",3-7 Yrs,On-site,3.8,https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735
11,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,"Supply chain, Computer science, Business process, Data analysis, Machine learning, Network security, Data structures, Troubleshooting",4-9 Yrs,On-site,4.0,https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258
12,Data Scientist - Service Parts Supply Chain,Philips,Bengaluru,"Supply chain, Supply chain management, ERP, Performance management, Project management, Process improvement, Business analytics, Healthcare",10-15 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504
13,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,Bengaluru,"Automation, Relationship building, Data quality, Continuous improvement, Security operations, Forecasting, Operations, Auditing",5-10 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494
14,Data Scientist,EXL,"Hybrid - Gurugram, Bengaluru","Generative Ai, Artificial Intelligence, Python, SQL, Data Science, Data, Intelligence, Science",5-8 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-5-to-8-years-031125016780
15,Data Scientist,Maruti Suzuki,Bengaluru,"Cloud computing, Data analysis, Machine learning, Data processing, Telematics, Engineering Design, data visualization, Automotive",4-7 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671
16,"Staff Data Scientist, Ads Insights and Measurement",Google,Bengaluru,"Data analysis, Bidding, Coding, Analytical, Data structures, MATLAB, Analytics, Brand building",8-13 Yrs,On-site,4.4,https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487
17,AI / ML Data Scientist I,Nielsen Sports,Bengaluru,"Cloud computing, Operations research, Automation, Primary research, data science, Machine learning, JIRA, Statistics",0-3 Yrs,On-site,3.8,https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161
