job_id,job_title,company_name,location,skills_required,experience_raw,work_mode,company_rating,job_url
1,Data Scientist,Cisco,Bengaluru,computer science data analysis data science supply chain operations data visualization customer engagement cisco analytics,7-10 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991
2,Data Scientist,Caterpillar Inc,Bengaluru,basic data management business analytics analytical machine learning programming data processing data visualization,4-8 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-8-years-010526502121
8,Advanced Data Scientist,Exxon Mobil Corporation,Bengaluru,supply chain data science aerospace machine learning agile monitoring analytics python,5-10 Yrs,On-site,3.7,https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372
9,"Data Scientist, Google Play, Product",Google,Bengaluru,product management prototype data science coding machine learning mathematics statistics analytics,5-10 Yrs,On-site,4.4,https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329
10,Machine Learning Data Scientist,Hsbc,Bengaluru,python data analysis data domain vertex data processing google anomaly detection machine learning,3-7 Yrs,On-site,3.8,https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735
11,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,supply chain computer science business process data analysis machine learning network security data structures troubleshooting,4-9 Yrs,On-site,4.0,https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258
12,Data Scientist - Service Parts Supply Chain,Philips,Bengaluru,supply chain supply chain management erp performance management project management process improvement business analytics healthcare,10-15 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504
13,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,Bengaluru,automation relationship building data quality continuous improvement security operations forecasting operations auditing,5-10 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494
14,Data Scientist,EXL,"Hybrid - Gurugram, Bengaluru",generative ai artificial intelligence python sql data science data intelligence science,5-8 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-5-to-8-years-031125016780
15,Data Scientist,Maruti Suzuki,Bengaluru,cloud computing data analysis machine learning data processing telematics engineering design data visualization automotive,4-7 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671
16,"Staff Data Scientist, Ads Insights and Measurement",Google,Bengaluru,data analysis bidding coding analytical data structures matlab analytics brand building,8-13 Yrs,On-site,4.4,https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487
17,AI / ML Data Scientist I,Nielsen Sports,Bengaluru,cloud computing operations research automation primary research data science machine learning jira statistics,0-3 Yrs,On-site,3.8,https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161
18,Data Scientist,Genpact,"Hybrid - Hyderabad, Gurugram, Bengaluru",generative ai machine learning python data science natural language processing languages processing process,8-12 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-12-years-090626026692
19,Marketing Data Scientist/Engineer,Wipro,"Hybrid - Noida, Kolkata, Bengaluru",insight generation statistical modeling python marketing database customer analytics r program sql modeling,5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-marketing-data-scientist-engineer-wipro-noida-kolkata-bengaluru-5-to-10-years-050626025990
20,Data Scientist-Artificial Intelligence,IBM,Bangalore Rural,kubernetes scikit-learn foundation artificial intelligence jquery sql react.js tensorflow,7-9 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-bangalore-rural-7-to-9-years-090626023322
21,Data Scientist,Alstom,Bengaluru,data scientist python neural networks ai numpy machine learning artificial intelligence sql,7-12 Yrs,On-site,3.7,https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-080626934044
